2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,"Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)"
,,,,,,,"ivovaren Zavod Kamenitza (MolsonCoors)","ivovaren Zavod Kamenitza (MolsonCoors)","ivovaren Zavod Kamenitza (MolsonCoors)","ivovaren Zavod Kamenitza (MolsonCoors)","ivovaren Zavod Kamenitza (MolsonCoors)","ivovaren Zavod Kamenitza (MolsonCoors)"
,,,,,,,"Haskovo (MolsonCoors)","Haskovo (MolsonCoors)","Haskovo (MolsonCoors)","Haskovo (MolsonCoors)","Haskovo (MolsonCoors)","Haskovo (MolsonCoors)"
,,,,,,,"Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)"
,,,,,,,"Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)"
,,,,,,,"Branik (InBev)","Branik (InBev)","Branik (InBev)","Branik (InBev)","Branik (InBev)","Branik (InBev)"
,,,,,,,"Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)"
,,,,,,,"Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)"
,,,,,,,"Zagrebačka Pivovara (MolsonCoors)","Zagrebačka Pivovara (MolsonCoors)","Zagrebačka Pivovara (MolsonCoors)","Zagrebačka Pivovara (MolsonCoors)","Zagrebačka Pivovara (MolsonCoors)","Zagrebačka Pivovara (MolsonCoors)"
,,,,,,,,"Franciscan Well (MolsonCoors)","Franciscan Well (MolsonCoors)","Franciscan Well (MolsonCoors)","Franciscan Well (MolsonCoors)","Franciscan Well (MolsonCoors)"
,,,,,,,,,,"Thomas Hardy Burtonwood &#40;Molson Coors&#41;","Thomas Hardy Burtonwood &#40;Molson Coors&#41;","Thomas Hardy Burtonwood &#40;Molson Coors&#41;"
,,,,,,,,,,"Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;"
,,,,,,,,,,"Leinenkugel Brewing Company &#40;Tenth & Blake - MillerCoors&#41;","Leinenkugel Brewing Company &#40;Tenth & Blake - MillerCoors&#41;","Leinenkugel Brewing Company &#40;Tenth & Blake - MillerCoors&#41;"
,,,,,,,,,,"Saint Archer Brewing Company &#40;MillerCoors&#41;","Saint Archer Brewing Company &#40;MillerCoors&#41;","Saint Archer Brewing Company &#40;MillerCoors&#41;"
,,,,,,,,,,,"Terrapin Beer Company","Terrapin Beer Company"
