2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd.","Asia Pacific Brewery Lanka Ltd."
"Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG","Heineken Switzerland AG"
"BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)","BGI Tien Giang Vietnam (Asia-Pacific Breweries-Heineken)"
"John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)","John Smith's Brewery (Heineken UK)"
"Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon","Brasserie de Bourbon"
"Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd.","Commonwealth Brewery Ltd."
"Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)","Birra Moretti (Heineken)"
"Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery","Ariana Brewery"
"Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)","Pivovar Corgo&#328; (Heineken Slovensko)"
"Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem","Brouwerij De Smedt / Brouwerij Affligem"
