2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)","Brand Bierbrouwerij (Heineken)"
"Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)","Commonwealth Brewery (Heineken)"
"Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)","Fischer (Heineken France)"
"Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)","Pivovarna Ariana (Heineken)"
"Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)","Pivovar Corgon (Heineken)"
"Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)","Gemer Pivovar (Heineken)"
"Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)","Brouwerij Affligem / De Smedt (Heineken)"
"Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)","Zlatopramen (Heineken)"
"Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)","Cruzcampo (Heineken España)"
,,"Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)","Al Ahram (Heineken)"
,,"Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)","Brasserie Almaza (Heineken)"
,,,"Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)","Starobrno Brewery (Heineken)"
,,,"Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)","Brasserie Lorraine (Heineken)"
,,,"Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)","Craiova (Heineken Romania)"
,,,"Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)","Malbera (Heineken Romania)"
,,,,"Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)","Bochkarev Brewery (Heineken)"
,,,,"Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)","Shikhan (Heineken)"
,,,,"Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)","Volga (Heineken)"
,,,,,"Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)","Baikal Brewing Company  (Heineken)"
,,,,,"Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)","Patra AO (Heineken)"
,,,,,"Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)","Kompaniya PIT (Heineken)"
,,,,,"Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)","Stepan Razin Brewery (Heineken)"
,,,,,"Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)","Surinaamse Bierbrouwerij (Heineken)"
,,,,,,,"Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)","Královský pivovar Kruovice (Heineken)"
,,,,,,,,"S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)","S.A.R.L. Tango (Heineken)"
,,,,,,,,"SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)","SP Rechitsapivo OAO (Heineken)"
,,,,,,,,"Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)","Brouwerijen Alken-Maes (Heineken)"
,,,,,,,,"Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)","Mort Subite (Alken-Maes - Heineken)"
,,,,,,,,"Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)","Brasserie de lUnion - Alken-Maes (Heineken)"
,,,,,,,,"Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)","Pivovar Velké Březno - Breznak (Heineken)"
,,,,,,,,"Pivovar Kutná Hora (Heineken)","Pivovar Kutná Hora (Heineken)","Pivovar Kutná Hora (Heineken)",,"Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)"
,,,,,,,,"Pivovar Louny (Heineken)","Pivovar Louny (Heineken)","Pivovar Louny (Heineken)",,"Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)"
,,,,,,,,"Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)","Beamish & Crawford (S&N, Heineken)","Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)"
,,,,,,,,"Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)","Sociedade Central de Cervejas e Bebidas (Heineken Group)","Caledonian (Heineken UK)","Caledonian (Heineken UK)","Caledonian (Heineken UK)","Caledonian (Heineken UK)","Caledonian (Heineken UK)"
,,,,,,,,"Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)","Bere Mureş (Heineken Romania)","Eichhof (Heineken)","Eichhof (Heineken)","Eichhof (Heineken)","Eichhof (Heineken)","Eichhof (Heineken)"
,,,,,,,,"Caledonian (Heineken UK)","Caledonian (Heineken UK)","Caledonian (Heineken UK)","Caledonian (Heineken UK)","Harar Brewery (Heineken)","Harar Brewery (Heineken)","Harar Brewery (Heineken)","Harar Brewery (Heineken)","Harar Brewery (Heineken)"
,,,,,,,,"Eichhof (Heineken)","Eichhof (Heineken)","Eichhof (Heineken)","Eichhof (Heineken)","La Brasserie de Tahiti (Heineken)","La Brasserie de Tahiti (Heineken)","La Brasserie de Tahiti (Heineken)","La Brasserie de Tahiti (Heineken)","La Brasserie de Tahiti (Heineken)"
,,,,,,,,,,"Cambodia Brewery (Heineken)","La Brasserie de Tahiti (Heineken)","Brasserie Nationale dHaiti - BRANA (Heineken)","Brasserie Nationale dHaiti - BRANA (Heineken)","Brasserie Nationale dHaiti - BRANA (Heineken)","Brasserie Nationale dHaiti - BRANA (Heineken)","Brasserie Nationale dHaiti - BRANA (Heineken)"
,,,,,,,,,,"Antillaanse Brouwerij (Heineken)","Brasserie Nationale dHaiti - BRANA (Heineken)","Hostan (Starobrno - Heineken)","Hostan (Starobrno - Heineken)","Hostan (Starobrno - Heineken)","Hostan (Starobrno - Heineken)","Hostan (Starobrno - Heineken)"
,,,,,,,,,,,,"FEMSA - Cuauhtémoc-Moctezuma (Heineken)","FEMSA - Cuauhtémoc-Moctezuma (Heineken)","FEMSA - Cuauhtémoc-Moctezuma (Heineken)","FEMSA - Cuauhtémoc-Moctezuma (Heineken)","FEMSA - Cuauhtémoc-Moctezuma (Heineken)"
,,,,,,,,,,,,"MCS  Mongolia (Asia Pacific Breweries-Heineken)","MCS  Mongolia (Asia Pacific Breweries-Heineken)","MCS  Mongolia (Asia Pacific Breweries-Heineken)","MCS  Mongolia (Asia Pacific Breweries-Heineken)","MCS  Mongolia (Asia Pacific Breweries-Heineken)"
,,,,,,,,,,,,"DB Breweries (Asia Pacific Breweries-Heineken)","DB Breweries (Asia Pacific Breweries-Heineken)","DB Breweries (Asia Pacific Breweries-Heineken)","DB Breweries (Asia Pacific Breweries-Heineken)","DB Breweries (Asia Pacific Breweries-Heineken)"
,,,,,,,,,,,,,,,"Cervejas de Angola (Heineken)","Cervejas de Angola (Heineken)"
,,,,,,,,,,,,,,,"Lagunitas Brewing Company &#40;Heineken&#41;","Lagunitas Brewing Company &#40;Heineken&#41;"
