2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Novosibirsk (Baltika - Baltic Beverages Holding)","Baltika-Novosibirsk (Baltika - Baltic Beverages Holding)"
"Baltika Brew","Baltika Brew","Baltika Brew","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Rostov (Baltika - Baltic Beverages Holding)","Baltika-Rostov (Baltika - Baltic Beverages Holding)"
"Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika Brew","Baltika Brew","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)","Baltika-Samara (Baltic Beverages Holding - Carlsberg)"
"Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika Brew","Baltika-Voronezh (Baltika - Baltic Beverages Holding)","Baltika-Voronezh (Baltika - Baltic Beverages Holding)"
"Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)","Baltika-Yaroslavl (Baltika - Baltic Beverages Holding)"
"Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika Brew","Baltika Brew"
"Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Chongqing (Carlsberg)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)","Baltika-Chelyabinsk (Baltika - Baltic Beverages Holding)"
"Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Baltika-Pikra (Baltika - Baltic Beverages Holding)","Baltika-Pikra (Baltika - Baltic Beverages Holding)"
"Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)","Chongqing (Carlsberg)","Chongqing (Carlsberg)"
"Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)"
"Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Tianmuhu (Chongqing Beer Group)","Tianmuhu (Chongqing Beer Group)"
"Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)","Xin Jiang Wusu Breweries Co. Ltd. (Carlsberg)"
"Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)","Ningxia Xixia Jianiang Beer Co. Ltd. (Carlsberg)"
"Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)","Ningbo Daliangshan (Chongqing Beer Group - Carlsberg)"
"UzCarlsberg","UzCarlsberg","UzCarlsberg","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Lao Brewery Co (Carlsberg)","Lao Brewery Co (Carlsberg)","Lao Brewery Co (Carlsberg)","Lao Brewery Co (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)","Yunnan Dali Beer Group (Carlsberg)"
"Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","UzCarlsberg","UzCarlsberg","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co."
"Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","UzCarlsberg","UzCarlsberg","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd","Lao Brewery Co (Carlsberg)","Lao Brewery Co (Carlsberg)"
"Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","UzCarlsberg","UzCarlsberg","UzCarlsberg",,"Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad"
"Türk Tuborg","Türk Tuborg","Türk Tuborg","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","UzCarlsberg","UzCarlsberg","UzCarlsberg","UzCarlsberg","UzCarlsberg","Myanmar Carlsberg Co, Ltd","Myanmar Carlsberg Co, Ltd"
,,,"Türk Tuborg","Türk Tuborg","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)","Gorkha Brewery (Carlsberg)","Gorkha Brewery (Carlsberg)"
,,,,,"Türk Tuborg","Türk Tuborg","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","UzCarlsberg","UzCarlsberg"
,,,,,,,"Türk Tuborg","Türk Tuborg",,"Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsrom (United Romanian Breweries)","Carlsrom (United Romanian Breweries)"
,,,,,,,"Fredericia Bryghus",,,,"Hue Brewery (Carlsberg)","Hue Brewery (Carlsberg)","Hue Brewery (Carlsberg)","Hue Brewery (Carlsberg)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)","Nya Carnegiebryggeriet (Carlsberg / Brooklyn)"
,,,,,,,,,,,,,,,"Carlsberg Malawi Brewery","Carlsberg Malawi Brewery"
,,,,,,,,,,,,,,,"Hue Brewery (Carlsberg)","Hue Brewery (Carlsberg)"
