2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,"Yantar Brewery (Ukraine) (Sun-InBev)","Wellpark (Tennent Caledonian - C&C Group)","Pivovaren Zavod Kamenitza (MolsonCoors)","Pivovaren Zavod Kamenitza (MolsonCoors)","Pivzavod Saransk (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Tinkoff","Tinkoff","Strangeways &#40;Interbrew UK - InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Pivzavod Saransk (Sun-InBev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Jinhua InBev Double Deer Beer Co."
,,"Zagrebačka Pivovara (MolsonCoors)","Yantar Brewery (Ukraine) (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Rogan (Sun-InBev)","Pivovaren Zavod Kamenitza (MolsonCoors)","Pivovaren Zavod Kamenitza (MolsonCoors)","Pivovaren Zavod Kamenitza (MolsonCoors)","Volzhsky Brewery (Sun-InBev)","Volzhsky Brewery (Sun-InBev)","Tinkoff","Strangeways &#40;Interbrew UK - InBev&#41;","Rogan (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Karbach Brewing &#40;AB InBev&#41;"
,,,"Zagrebačka Pivovara (MolsonCoors)","Rogan (Sun-InBev)","Rogan (Sun-InBev)","Samlesbury &#40;AB InBev UK&#41;","Pivzavod Saransk (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Yantar Brewery (Ukraine) (Sun-InBev)","Yantar Brewery (Ukraine) (Sun-InBev)","Volzhsky Brewery (Sun-InBev)","Tinkoff","Samlesbury &#40;AB InBev UK&#41;","Omsk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)"
,,,,"Samlesbury &#40;AB InBev UK&#41;","Samlesbury &#40;AB InBev UK&#41;","Sedrin Brewery Co., Ltd (Inbev)","Rogan (Sun-InBev)","Rogan (Sun-InBev)","Rogan (Sun-InBev)",,,"Yantar Brewery (Ukraine) (Sun-InBev)","Volzhsky Brewery (Sun-InBev)","Sedrin Brewery Co., Ltd (Inbev)","Oriental Brewery (AB-InBev)","Kursk (Sun-InBev)"
,,,,"Spaten-Franziskaner-Bräu &#40;InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Samlesbury &#40;AB InBev UK&#41;","Samlesbury &#40;AB InBev UK&#41;","Samlesbury &#40;AB InBev UK&#41;",,,,"Yantar Brewery (Ukraine) (Sun-InBev)","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Perm Brewery (Sun-InBev)","Labatt Breweries &#40;AB InBev&#41;"
,,,,"Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Sedrin Brewery Co., Ltd (Inbev)","Sedrin Brewery Co., Ltd (Inbev)","Sedrin Brewery Co., Ltd (Inbev)",,,,,"Strangeways &#40;Interbrew UK - InBev&#41;","Pivzavod Saransk (Sun-InBev)","Lakeport &#40;Labatt - InBev&#41;"
,,,,"Strangeways &#40;Interbrew UK - InBev&#41;","Strangeways &#40;Interbrew UK - InBev&#41;","Strangeways &#40;Interbrew UK - InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;",,,,,"Tinkoff","Rogan (Sun-InBev)","Löwenbräu AG"
,,,,"Trebjesa (MolsonCoors)","Tinkoff","Tinkoff","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)","Staropramen Breweries (MolsonCoors)",,,,,"Volzhsky Brewery (Sun-InBev)","Samlesbury &#40;AB InBev UK&#41;","Mill Street Brewery &#40;AB InBev&#41;"
,,,,"United Dutch Breweries","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)","Strangeways &#40;Interbrew UK - InBev&#41;","Strangeways &#40;Interbrew UK - InBev&#41;","Strangeways &#40;Interbrew UK - InBev&#41;",,,,,"Yantar Brewery (Ukraine) (Sun-InBev)","Sedrin Brewery Co., Ltd (Inbev)","Mill Street Brewpub St. Johns &#40;AB-InBev&#41;"
,,,,"Volzhsky Brewery (Sun-InBev)","United Dutch Breweries","United Dutch Breweries","Tinkoff","Tinkoff","Tinkoff",,,,,,"Spaten-Franziskaner-Bräu &#40;InBev&#41;","Mysore Breweries (SABMiller)"
,,,,"Wellpark (Tennent Caledonian - C&C Group)","Volzhsky Brewery (Sun-InBev)","Volzhsky Brewery (Sun-InBev)","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)","Trebjesa (MolsonCoors)",,,,,,"Strangeways &#40;Interbrew UK - InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)"
,,,,"Yantar Brewery (Ukraine) (Sun-InBev)","Wellpark (Tennent Caledonian - C&C Group)","Wellpark (Tennent Caledonian - C&C Group)","United Dutch Breweries","Volzhsky Brewery (Sun-InBev)","Volzhsky Brewery (Sun-InBev)",,,,,,"Tinkoff","National Breweries PLC (Zambia) (SABMiller)"
,,,,"Zagrebačka Pivovara (MolsonCoors)","Yantar Brewery (Ukraine) (Sun-InBev)","Yantar Brewery (Ukraine) (Sun-InBev)","Volzhsky Brewery (Sun-InBev)","Wellpark (Tennent Caledonian - C&C Group)","Yantar Brewery (Ukraine) (Sun-InBev)",,,,,,"Volzhsky Brewery (Sun-InBev)","Nile Breweries (SABMiller)"
,,,,,"Zagrebačka Pivovara (MolsonCoors)","Zagrebačka Pivovara (MolsonCoors)","Wellpark (Tennent Caledonian - C&C Group)","Yantar Brewery (Ukraine) (Sun-InBev)","Zagrebačka Pivovara (MolsonCoors)",,,,,,"Yantar Brewery (Ukraine) (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;"
,,,,,,,"Yantar Brewery (Ukraine) (Sun-InBev)","Zagrebačka Pivovara (MolsonCoors)",,,,,,,,"Omsk (Sun-InBev)"
,,,,,,,"Zagrebačka Pivovara (MolsonCoors)",,,,,,,,,"Oriental Brewery (AB-InBev)"
,,,,,,,,,,,,,,,,"Perm Brewery (Sun-InBev)"
,,,,,,,,,,,,,,,,"Pivzavod Saransk (Sun-InBev)"
,,,,,,,,,,,,,,,,"Rogan (Sun-InBev)"
,,,,,,,,,,,,,,,,"Samlesbury &#40;AB InBev UK&#41;"
,,,,,,,,,,,,,,,,"Sedrin Brewery Co., Ltd (Inbev)"
,,,,,,,,,,,,,,,,"South African Breweries (SABMiller)"
,,,,,,,,,,,,,,,,"Spaten-Franziskaner-Bräu &#40;InBev&#41;"
,,,,,,,,,,,,,,,,"Strangeways &#40;Interbrew UK - InBev&#41;"
,,,,,,,,,,,,,,,,"Swaziland Brewers"
,,,,,,,,,,,,,,,,"Tanzanian Breweries (SABMiller)"
,,,,,,,,,,,,,,,,"Tinkoff"
,,,,,,,,,,,,,,,,"Volzhsky Brewery (Sun-InBev)"
